Sample Index, EXG Channel 0
130,-985.0
130,-946.0
130,-1107.0
131,-1000.0
131,-689.0
131,-1484.0
131,-1227.0
131,-860.0
132,-927.0
132,-316.0
132,-1091.0
132,-1256.0
133,-1157.0
133,-642.0
133,-913.0
133,-902.0
134,-763.0
134,-1062.0
134,-1207.0
135,-1024.0
135,-1411.0
135,-1282.0
136,-1141.0
136,-1112.0
136,-1045.0
136,-1372.0
137,-1069.0
137,-566.0
137,-1449.0
137,-958.0
138,-1465.0
138,-1318.0
138,-1229.0
138,-1376.0
139,-965.0
139,-1648.0
139,-847.0
139,-470.0
139,-937.0
140,-452.0
140,-1103.0
140,-1460.0
140,-1121.0
140,-1298.0
141,-661.0
141,-1334.0
141,-851.0
141,-902.0
142,-1505.0
142,-984.0
142,-1471.0
143,-1068.0
143,-1273.0
143,-1458.0
143,-837.0
143,-1220.0
144,-1005.0
144,-940.0
144,-1349.0
144,-894.0
144,-1325.0
145,-1138.0
145,-901.0
145,-1078.0
145,-745.0
146,-1170.0
146,-895.0
146,-958.0
147,-1507.0
147,-1058.0
147,-1195.0
147,-954.0
147,-1121.0
148,-772.0
148,-1055.0
148,-966.0
148,-701.0
149,-778.0
149,-1089.0
149,-730.0
150,-1143.0
150,-936.0
150,-1359.0
151,-864.0
151,-583.0
152,-1138.0
152,-733.0
152,-610.0
153,-701.0
153,-702.0
153,-949.0
153,-688.0
154,-583.0
154,-1028.0
154,-451.0
155,-1102.0
155,-883.0
155,-620.0
156,-925.0
156,-668.0
156,-1059.0
156,-760.0
157,-857.0
157,-932.0
157,-775.0
157,-944.0
158,-795.0
158,-968.0
158,-1277.0
158,-928.0
159,-1079.0
159,-802.0
160,-815.0
161,-1136.0
161,-1101.0
161,-1156.0
162,-1059.0
162,-1618.0
162,-1327.0
162,-904.0
163,-1155.0
163,-1266.0
163,-1081.0
164,-1766.0
164,-1583.0
164,-1504.0
164,-1005.0
165,-1486.0
165,-1397.0
165,-1056.0
166,-1809.0
166,-1530.0
166,-1233.0
166,-1880.0
167,-1475.0
167,-1738.0
167,-1603.0
168,-1528.0
168,-1803.0
168,-1406.0
169,-1783.0
169,-1722.0
169,-1567.0
170,-1816.0
170,-1515.0
170,-1342.0
170,-1551.0
171,-1122.0
171,-1831.0
171,-1550.0
171,-1589.0
172,-1232.0
172,-1407.0
172,-1788.0
177,-1845.0
189,-2032.0
197,-1857.0
210,-1540.0
218,-1853.0
230,-1370.0
238,-1757.0
251,-1392.0
259,-1225.0
267,-1646.0
279,-1529.0
288,-1818.0
300,-1905.0
308,-1316.0
320,-1545.0
329,-1400.0
341,-2057.0
349,-1782.0
357,-1931.0
369,-1714.0
378,-1665.0
390,-1858.0
398,-1909.0
410,-1222.0
419,-2073.0
427,-1534.0
439,-1559.0
447,-1626.0
460,-1769.0
468,-1670.0
480,-1585.0
488,-1644.0
501,-1577.0
509,-852.0
521,-1431.0
529,-1526.0
541,-1747.0
549,-1754.0
558,-1495.0
570,-2166.0
578,-1681.0
590,-1704.0
599,-1655.0
611,-1776.0
620,-1651.0
632,-1608.0
640,-1861.0
648,-1742.0
660,-1371.0
669,-1910.0
681,-1101.0
689,-1676.0
701,-1915.0
710,-1446.0
722,-1841.0
730,-1574.0
739,-1973.0
751,-1558.0
759,-1275.0
771,-1528.0
779,-1747.0
791,-2078.0
799,-1555.0
812,-998.0
820,-1729.0
828,-1542.0
841,-1673.0
849,-1956.0
861,-2047.0
870,-2148.0
882,-1881.0
890,-1552.0
898,-1505.0
911,-1374.0
919,-1965.0
931,-1328.0
939,-1591.0
951,-1582.0
960,-1271.0
972,-1642.0
980,-1431.0
988,-2150.0
1001,-1607.0
1009,-1678.0
1021,-1771.0
1029,-1560.0
1041,-1783.0
1050,-1700.0
1062,-1563.0
1070,-2018.0
1078,-2099.0
1091,-2012.0
1099,-1595.0
1111,-1658.0
1119,-1801.0
1132,-1748.0
1140,-1817.0
1152,-1582.0
1160,-1593.0
1169,-2052.0
1181,-2163.0
1189,-2436.0
1201,-1905.0
1210,-1824.0
1222,-2451.0
1230,-2104.0
1242,-2073.0
1250,-2210.0
1263,-2363.0
1271,-2584.0
1283,-2217.0
1291,-2578.0
1300,-2545.0
1312,-2092.0
1320,-2281.0
1332,-2038.0
1341,-2537.0
1353,-2764.0
1361,-2439.0
1369,-2854.0
1382,-2613.0
1390,-2346.0
1402,-2697.0
1410,-2334.0
1422,-2413.0
1431,-2372.0
1443,-2467.0
1451,-2578.0
1459,-2355.0
1472,-2630.0
1480,-2551.0
1492,-2592.0
1500,-2591.0
1512,-2144.0
1521,-2641.0
1533,-2818.0
1541,-2535.0
1549,-2794.0
1562,-2047.0
1570,-2528.0
1582,-2359.0
1590,-2520.0
1603,-2417.0
1611,-2054.0
1623,-2469.0
1631,-2462.0
1640,-2635.0
1652,-2936.0
1660,-2473.0
1672,-2752.0
1680,-2575.0
1693,-2708.0
1701,-2515.0
1709,-2470.0
1721,-2763.0
1730,-2582.0
1742,-3009.0
1750,-2684.0
1761,-2337.0
1771,-2650.0
1783,-2371.0
1791,-2434.0
1799,-2807.0
1812,-2562.0
1820,-2667.0
1832,-2528.0
1840,-3143.0
1853,-2600.0
1861,-2839.0
1873,-2634.0
1881,-2283.0
1893,-3242.0
1901,-2961.0
1913,-2800.0
1922,-2965.0
1930,-2662.0
1942,-2749.0
1950,-3000.0
1963,-2491.0
1972,-2772.0
1983,-2635.0
1992,-2176.0
2004,-2587.0
2012,-2492.0
2020,-2499.0
2032,-2498.0
2041,-2375.0
2053,-2262.0
2061,-1917.0
2073,-2772.0
2082,-2635.0
2094,-2344.0
2102,-2345.0
2110,-2360.0
2123,-2681.0
2131,-2504.0
2143,-2341.0
2151,-2480.0
2163,-2193.0
2171,-2618.0
2179,-2601.0
2192,-2636.0
2200,-2489.0
2213,-2700.0
2221,-2779.0
2233,-2476.0
2241,-2449.0
2254,-2328.0
2262,-2409.0
2270,-2748.0
2282,-2283.0
2291,-2336.0
2303,-2739.0
2311,-2118.0
2324,-2501.0
2331,-2394.0
2344,-2333.0
2352,-2342.0
2360,-2301.0
2372,-2332.0
2380,-2105.0
2393,-2232.0
2401,-2099.0
2413,-2114.0
2421,-2543.0
2434,-2198.0
2442,-2579.0
2450,-2576.0
2463,-1591.0
2471,-2282.0
2483,-1681.0
2491,-2060.0
2504,-1739.0
2511,-1886.0
2524,-2365.0
2532,-2132.0
2540,-1633.0
2552,-2202.0
2561,-2217.0
2573,-2272.0
2581,-1727.0
2593,-1656.0
2602,-1635.0
2614,-1608.0
2622,-2529.0
2635,-2068.0
2643,-1919.0
2651,-1728.0
2664,-1823.0
2672,-2382.0
2684,-1639.0
2692,-1456.0
2704,-1875.0
2712,-1346.0
2725,-1643.0
2732,-1762.0
2741,-1439.0
2753,-1722.0
2761,-1481.0
2774,-1792.0
2782,-1775.0
2794,-1254.0
2803,-1497.0
2815,-1560.0
2823,-1749.0
2831,-1634.0
2844,-1489.0
2852,-1986.0
2864,-1571.0
2872,-1840.0
2884,-2037.0
2893,-1588.0
2905,-2125.0
2913,-1090.0
2921,-1785.0
2933,-1728.0
2941,-1781.0
2954,-1802.0
2962,-1581.0
2975,-1464.0
2983,-1673.0
2991,-1640.0
3003,-1871.0
3012,-1628.0
3024,-1857.0
3032,-1702.0
3044,-1477.0
3052,-2150.0
3064,-1861.0
3073,-2414.0
3081,-1683.0
3093,-1432.0
3101,-1579.0
3113,-1372.0
3122,-1971.0
3134,-1640.0
3143,-1129.0
3155,-1982.0
3163,-1613.0
3171,-1510.0
3184,-1791.0
3192,-1416.0
3204,-1983.0
3212,-1244.0
3225,-1929.0
3233,-1604.0
3244,-1285.0
3253,-1662.0
3265,-1463.0
3273,-1408.0
3286,-1571.0
3294,-1560.0
3302,-1663.0
3314,-1612.0
3323,-1577.0
3335,-2134.0
3343,-1425.0
3355,-1660.0
3363,-1537.0
3376,-1582.0
3384,-1515.0
3392,-1636.0
3405,-2005.0
3413,-1484.0
3425,-1967.0
3433,-1646.0
3446,-1415.0
3454,-1902.0
3462,-1365.0
3474,-2084.0
3482,-1963.0
3494,-1662.0
3503,-1647.0
3515,-1794.0
3523,-1979.0
3535,-1652.0
3544,-1675.0
3552,-1918.0
3564,-1607.0
3572,-1826.0
3584,-1693.0
3593,-1748.0
3605,-2393.0
3613,-1992.0
3625,-2279.0
3634,-1832.0
3642,-1643.0
3654,-2234.0
3662,-1999.0
3675,-2694.0
3683,-2277.0
3695,-2298.0
3703,-2411.0
3715,-2588.0
3724,-2805.0
3732,-2468.0
3744,-2129.0
3752,-2790.0
3764,-2165.0
3773,-2916.0
3785,-2499.0
3793,-1970.0
3806,-2403.0
3814,-2362.0
3822,-2541.0
3835,-2606.0
3843,-2235.0
3855,-2788.0
3863,-2205.0
3875,-2652.0
3884,-2311.0
3892,-2154.0
3904,-2675.0
3912,-2262.0
3925,-2491.0
3933,-2488.0
3945,-2549.0
3953,-3024.0
3966,-2921.0
3974,-2850.0
3986,-3053.0
3995,-2964.0
4007,-3021.0
4015,-2862.0
4023,-2817.0
4036,-2928.0
4044,-3205.0
4055,-3688.0
4064,-3115.0
4076,-3384.0
4085,-2903.0
4097,-2934.0
